stream,sample_index,receive_gap_ms,exchange_event_gap_ms,sampled_from_total
depth,12410,163.346738,104.000,17554
depth,12428,78.712941,102.000,17554
depth,12445,102.701602,102.000,17554
depth,12463,102.143245,104.000,17554
depth,12480,103.387982,104.000,17554
depth,12498,178.50905,104.000,17554
depth,12516,102.182198,102.000,17554
depth,12533,129.595664,104.000,17554
depth,12551,82.086491,102.000,17554
depth,12568,107.716958,102.000,17554
depth,12586,25.546415,104.000,17554
depth,12603,102.232204,102.000,17554
depth,12621,166.807601,104.000,17554
depth,12638,101.572895,102.000,17554
depth,12656,111.661761,102.000,17554
depth,12673,19.25713,104.000,17554
depth,12691,94.289579,102.000,17554
depth,12709,35.941064,102.000,17554
depth,12726,101.950997,102.000,17554
depth,12744,156.257147,102.000,17554
depth,12761,52.211309,102.000,17554
depth,12779,133.918797,102.000,17554
depth,12796,100.685055,102.000,17554
depth,12814,99.45159,102.000,17554
depth,12831,131.691796,102.000,17554
depth,12849,126.392722,102.000,17554
depth,12867,165.168987,102.000,17554
