symbol,funding_time,funding_rate,mark_price
ETHUSDT,2022-04-23T00:00:00+00:00,0.00003778,
ETHUSDT,2022-04-23T08:00:00+00:00,-0.00010115,
ETHUSDT,2022-04-23T16:00:00.012000+00:00,-0.00008574,
ETHUSDT,2022-04-24T00:00:00.004000+00:00,-0.00009091,
ETHUSDT,2022-04-24T08:00:00.003000+00:00,-0.00005652,
ETHUSDT,2022-04-24T16:00:00+00:00,0.00000341,
ETHUSDT,2022-04-25T00:00:00.008000+00:00,0.00000321,
ETHUSDT,2022-04-25T08:00:00.018000+00:00,-0.00008588,
ETHUSDT,2022-04-25T16:00:00+00:00,-0.00024996,
ETHUSDT,2022-04-26T00:00:00.014000+00:00,0.00010000,
ETHUSDT,2022-04-26T08:00:00+00:00,0.00010000,
ETHUSDT,2022-04-26T16:00:00.017000+00:00,0.00004991,
ETHUSDT,2022-04-27T00:00:00.012000+00:00,-0.00014242,
ETHUSDT,2022-04-27T08:00:00+00:00,-0.00025690,
ETHUSDT,2022-04-27T16:00:00.002000+00:00,0.00002591,
ETHUSDT,2022-04-28T00:00:00+00:00,-0.00001675,
ETHUSDT,2022-04-28T08:00:00.004000+00:00,-0.00005776,
ETHUSDT,2022-04-28T16:00:00.030000+00:00,0.00010000,
ETHUSDT,2022-04-29T00:00:00+00:00,0.00010000,
ETHUSDT,2022-04-29T08:00:00.016000+00:00,0.00010000,
ETHUSDT,2022-04-29T16:00:00.010000+00:00,0.00004578,
ETHUSDT,2022-04-30T00:00:00+00:00,-0.00008896,
ETHUSDT,2022-04-30T08:00:00.005000+00:00,-0.00005202,
ETHUSDT,2022-04-30T16:00:00.015000+00:00,-0.00005736,
ETHUSDT,2022-05-01T00:00:00+00:00,-0.00007153,
ETHUSDT,2022-05-01T08:00:00+00:00,-0.00016213,
ETHUSDT,2022-05-01T16:00:00.010000+00:00,-0.00004432,
ETHUSDT,2022-05-02T00:00:00.018000+00:00,0.00004920,
ETHUSDT,2022-05-02T08:00:00.007000+00:00,-0.00007704,
ETHUSDT,2022-05-02T16:00:00+00:00,-0.00000236,
ETHUSDT,2022-05-03T00:00:00.006000+00:00,0.00008762,
ETHUSDT,2022-05-03T08:00:00+00:00,0.00006446,
ETHUSDT,2022-05-03T16:00:00.021000+00:00,0.00008725,
ETHUSDT,2022-05-04T00:00:00.007000+00:00,0.00009221,
ETHUSDT,2022-05-04T08:00:00.011000+00:00,0.00010000,
ETHUSDT,2022-05-04T16:00:00+00:00,0.00010000,
ETHUSDT,2022-05-05T00:00:00.005000+00:00,0.00010000,
ETHUSDT,2022-05-05T08:00:00.019000+00:00,0.00010000,
ETHUSDT,2022-05-05T16:00:00.005000+00:00,0.00010000,
ETHUSDT,2022-05-06T00:00:00.005000+00:00,-0.00005032,
ETHUSDT,2022-05-06T08:00:00.001000+00:00,-0.00004640,
ETHUSDT,2022-05-06T16:00:00.010000+00:00,-0.00000246,
ETHUSDT,2022-05-07T00:00:00.004000+00:00,0.00005836,
