side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,5000,1000,HIGH,1805,99.83379501385042,-10.070135953114061,-10.052675959840839,0.0,-11.106055256654143,-9.156765124843236,-8.198375050113889,-12.753924398303472,10.057350490188174,-9.006827267385013e-25
LONG,5000,1000,LOW,3232,100.0,-10.054496287137749,-10.052670963254164,0.0,-11.001909856866252,-9.104300978908915,-8.132759040517707,-12.038243817977452,10.054824939547654,2.9397689502868202e-05
LONG,5000,1000,MEDIUM,373,100.0,-10.383120602574369,-10.052712074466683,0.0,-11.315387733400716,-9.684280351887631,-9.13841442057166,-12.881854949490707,10.044422640894714,0.00021928862499605414
LONG,5000,500,EXTREME,1782,99.04601571268238,-10.04105669310135,-10.052688177711241,0.0,-10.980112438901616,-8.997439552317601,-7.946139025779514,-12.479785609480684,10.056307595522586,0.0006777173171669249
LONG,5000,500,HIGH,1805,99.83379501385042,-10.070135953114061,-10.052675959840839,0.0,-11.106055256654143,-9.156765124843236,-8.198373220831137,-12.753924398303472,10.057350490188174,0.0
LONG,5000,500,LOW,3232,100.0,-10.054493101858386,-10.052670963254164,0.0,-11.001909856866252,-9.104300978908915,-8.132759040517707,-12.03823738709508,10.054821752498654,2.62106405033461e-05
LONG,5000,500,MEDIUM,373,100.0,-10.38305763177971,-10.052712074466683,0.0,-11.315387733400716,-9.684280351887631,-9.138351415290794,-12.881791952169996,10.044359640203888,0.00015628793417058322
LONG,15000,100,EXTREME,1782,98.4287317620651,-10.128309917872695,-10.052664025122768,0.0,-12.422302654801983,-7.998904115362933,-7.945634656899858,-12.479387201715184,10.048527819082228,0.0001509599264072825
LONG,15000,100,HIGH,1805,99.77839335180056,-10.193774829870184,-10.05267373901862,0.0,-12.42383505458993,-8.314315981427118,-8.19835858656913,-12.753924398303472,10.058160560166412,2.6844811223192105e-05
LONG,15000,100,LOW,3232,99.10272277227723,-10.005385070037333,-10.052637954097808,0.0,-11.738077672972546,-8.156409418609554,-8.132759040517707,-12.038216643358737,10.050339446096661,-1.1645228675531043e-24
LONG,15000,100,MEDIUM,373,100.0,-10.636593766650964,-10.105328605225859,0.0,-12.95187617013422,-8.26249027664319,-9.138195114691516,-12.8816356713179,10.059192049055936,-7.057477008259616e-25
LONG,15000,1000,EXTREME,1782,98.4287317620651,-10.129079304098191,-10.052664025122768,0.0,-12.422302654801983,-7.998904115362933,-7.946531969935706,-12.480092016534504,10.049297604109656,0.0009207449538341586
LONG,15000,1000,HIGH,1805,99.77839335180056,-10.193820139165512,-10.05267373901862,0.0,-12.42383505458993,-8.314315981427118,-8.198375050113889,-12.753924398303472,10.05820589183936,7.217648417312325e-05
LONG,15000,1000,LOW,3232,99.10272277227723,-10.005385070037333,-10.052637954097808,0.0,-11.738077672972546,-8.156409418609554,-8.132759040517707,-12.038243817977452,10.050339446096661,-1.1645228675531043e-24
LONG,15000,1000,MEDIUM,373,100.0,-10.637162273778799,-10.105328605225859,0.0,-12.95187617013422,-8.26249027664319,-9.13841442057166,-12.881854949490707,10.059760972883748,0.0005689238278111061
LONG,15000,500,EXTREME,1782,98.4287317620651,-10.128751693492035,-10.052664025122768,0.0,-12.422302654801983,-7.998904115362933,-7.946139025779514,-12.479785609480684,10.04896981887976,0.0005929597239402694
LONG,15000,500,HIGH,1805,99.77839335180056,-10.1938046000615,-10.05267373901862,0.0,-12.42383505458993,-8.314315981427118,-8.198373220831137,-12.753924398303472,10.058190345906779,5.6630551589258364e-05
