side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,15000,100,WIDE_DEEP,1167,100.0,-9.52836098804198,-9.630949303991434,0.0,-11.63505733478979,-7.097483579378657,-6.681547173155196,-12.117051969087681,10.053314443555651,5.533925485859827e-05
LONG,15000,100,WIDE_THIN,1176,100.0,-10.111407359817369,-9.841860440586252,0.0,-12.796335495858825,-7.995471722012287,-8.081585807613633,-12.764590571506872,10.050066410000664,0.00010491735540026069
LONG,15000,1000,TIGHT_DEEP,2429,98.06504734458625,-10.28376477986006,-10.052670963254164,0.0,-12.107082812887041,-8.629853852154534,-8.632255454372432,-12.200598771105346,10.052936199392462,0.00015151183954689704
LONG,15000,1000,TIGHT_THIN,2420,99.42148760330579,-10.238181044864366,-10.052674016611155,0.0,-11.791020390953985,-8.208771920577275,-8.422770243768955,-12.472960484402298,10.052723593685025,0.000260378124521828
LONG,15000,1000,WIDE_DEEP,1167,100.0,-9.528826403055644,-9.630949303991434,0.0,-11.63505733478979,-7.097483579378657,-6.682012971328943,-12.117517458020926,10.053780108414571,0.0005210041137799961
LONG,15000,1000,WIDE_THIN,1176,100.0,-10.111610004709286,-9.841860440586252,0.0,-12.796335495858825,-7.995471722012287,-8.081772948962016,-12.76477758661509,10.050269147674696,0.00030765502943279707
LONG,15000,500,TIGHT_DEEP,2429,98.06504734458625,-10.283678339396591,-10.052670963254164,0.0,-12.107082812887041,-8.629853852154534,-8.632116031909902,-12.200519887613055,10.052849712835426,6.502528251105925e-05
LONG,15000,500,TIGHT_THIN,2420,99.42148760330579,-10.238124034948868,-10.052674016611155,0.0,-11.791020390953985,-8.208771920577275,-8.422730630555938,-12.4729165531556,10.052666548547581,0.00020333298707694137
LONG,15000,500,WIDE_DEEP,1167,100.0,-9.528643507058518,-9.630949303991434,0.0,-11.63505733478979,-7.097483579378657,-6.681829924485879,-12.117334527403973,10.053597116308712,0.0003380120079182246
LONG,15000,500,WIDE_THIN,1176,100.0,-10.111527196551659,-9.841860440586252,0.0,-12.796335495858825,-7.995471722012287,-8.08170574649449,-12.76471042911842,10.050186298690823,0.00022480604555922661
LONG,30000,100,TIGHT_DEEP,2429,96.33594071634417,-10.552538519147875,-10.421338841581655,0.0,-13.265444849609004,-8.156409418609554,-8.632003434447247,-12.200468157720278,10.055593869712819,3.794420484618835e-05
LONG,30000,100,TIGHT_THIN,2420,99.42148760330579,-10.35716138980051,-10.421616548291334,0.0,-12.947740953544589,-7.682172258588158,-8.422631837122214,-12.472817792467232,10.050900990317464,1.4266110899909062e-05
LONG,30000,100,WIDE_DEEP,1167,99.48586118251929,-8.792274635793556,-8.73344069273212,0.0,-12.109751399728761,-4.8853912786587745,-6.681547173155196,-12.117051969087681,10.054770492883288,5.5625245839779655e-05
LONG,30000,100,WIDE_THIN,1176,98.9795918367347,-10.506413747413937,-10.158336633663366,0.0,-13.48221072635135,-7.677974603342221,-8.081585807613633,-12.764590571506872,10.053271663496126,0.00014235024834926766
LONG,30000,1000,TIGHT_DEEP,2429,96.33594071634417,-10.552760974021497,-10.421338841581655,0.0,-13.265444849609004,-8.156409418609554,-8.632255454372432,-12.200598771105346,10.055816497721251,0.0002605722132798517
LONG,30000,1000,TIGHT_THIN,2420,99.42148760330579,-10.357332650725875,-10.421616548291334,0.0,-12.947740953544589,-7.682172258588158,-8.422770243768955,-12.472960484402298,10.051072315447644,0.00018559124108143634
LONG,30000,1000,WIDE_DEEP,1167,99.48586118251929,-8.792758405100667,-8.73344069273212,0.0,-12.109751399728761,-4.8853912786587745,-6.682012971328943,-12.117517458020926,10.055254471396834,0.0005396037593853502
LONG,30000,1000,WIDE_THIN,1176,98.9795918367347,-10.506828294493749,-10.158336633663366,0.0,-13.48221072635135,-7.677974603342221,-8.081772948962016,-12.76477758661509,10.053686521235022,0.000557207987245875
LONG,30000,500,TIGHT_DEEP,2429,96.33594071634417,-10.552646779851342,-10.421338841581655,0.0,-13.265444849609004,-8.156409418609554,-8.632116031909902,-12.200519887613055,10.055702210117015,0.0001462846090432699
LONG,30000,500,TIGHT_THIN,2420,99.42148760330579,-10.357288555004875,-10.421616548291334,0.0,-12.947740953544589,-7.682172258588158,-8.422730630555938,-12.4729165531556,10.051028201892382,0.00014147768581837023
LONG,30000,500,WIDE_DEEP,1167,99.48586118251929,-8.792558644763535,-8.73344069273212,0.0,-12.109751399728761,-4.8853912786587745,-6.681829924485879,-12.117334527403973,10.05505462647745,0.0003397588400004893
LONG,30000,500,WIDE_THIN,1176,98.9795918367347,-10.506705236825848,-10.158336633663366,0.0,-13.48221072635135,-7.677974603342221,-8.08170574649449,-12.76471042911842,10.053563380048281,0.00043406680050545694
LONG,60000,100,TIGHT_DEEP,2429,91.39563606422396,-10.833441086160109,-10.473694232211802,0.0,-15.372183462259976,-7.049741986833158,-8.632003434447247,-12.200468157720278,10.052371179890477,3.111975307475574e-05
LONG,60000,100,TIGHT_THIN,2420,99.42148760330579,-10.784700577609494,-10.315829387879777,0.0,-15.998925970969626,-6.416448294588767,-8.422631837122214,-12.472817792467232,10.054660151769017,6.928166416512127e-06
LONG,60000,100,WIDE_DEEP,1167,99.48586118251929,-8.544178782395301,-7.575065532354787,0.0,-14.58735367198257,-3.8817209407865922,-6.681547173155196,-12.117051969087681,10.058219534799985,5.5625245839779655e-05
LONG,60000,100,WIDE_THIN,1176,98.9795918367347,-10.530003517940441,-11.372084182515128,0.0,-15.257509357887386,-5.9888052805280525,-8.081585807613633,-12.764590571506872,10.049102305702343,0.00014232815101267708
LONG,60000,1000,TIGHT_DEEP,2429,91.39563606422396,-10.833572452207278,-10.473694232211802,0.0,-15.372183462259976,-7.049741986833158,-8.632255454372432,-12.200598771105346,10.052502628539152,0.0001625684017497907
LONG,60000,1000,TIGHT_THIN,2420,99.42148760330579,-10.784893842086696,-10.315829387879777,0.0,-15.998925970969626,-6.416448294588767,-8.422770243768955,-12.472960484402298,10.054853524957556,0.00020030135495492643
LONG,60000,1000,WIDE_DEEP,1167,99.48586118251929,-8.54466243702563,-7.575065532354787,0.0,-14.58735367198257,-3.8817209407865922,-6.682012971328943,-12.117517458020926,10.058703451162058,0.0005395416079123441
LONG,60000,1000,WIDE_THIN,1176,98.9795918367347,-10.530417986706805,-11.372084182515128,0.0,-15.257509357887386,-5.9888052805280525,-8.081772948962016,-12.76477758661509,10.049517173289795,0.0005571957384636097
LONG,60000,500,TIGHT_DEEP,2429,91.39563606422396,-10.833479726345619,-10.473694232211802,0.0,-15.372183462259976,-7.049741986833158,-8.632116031909902,-12.200519887613055,10.052409831093756,6.977095635540376e-05
