latency_profile,side,horizon_ms,notional,samples,execution_rate_percent,mean_net_bps,positive_percent,mean_cost_bps,mean_depth_slippage_bps
FAST,SHORT,500,100,7192,99.972191323693,-10.0510710069901,0.0,10.05156252346785,1.5359510749516275e-05
FAST,SHORT,1000,100,7192,99.94438264738598,-10.04901385299543,0.0,10.05187106744017,1.5363784403035898e-05
FAST,SHORT,3000,100,7192,99.81924360400446,-10.04293118540024,0.0,10.053543430825364,4.370127379110792e-05
FAST,SHORT,5000,100,7192,99.72191323692992,-10.034184145406554,0.0,10.051119098708858,1.5398059437956222e-05
FAST,SHORT,15000,100,7192,99.15183537263626,-9.989078309235403,0.0,10.052886659625452,2.9075220191527167e-05
FAST,SHORT,30000,100,7192,98.31757508342604,-9.915911337468968,0.0,10.051881174820918,2.559737139223849e-05
FAST,SHORT,60000,100,7192,96.64905450500557,-9.72187508327531,0.546683930369731,10.051869958132173,2.762329195356848e-05
FAST,SHORT,250,500,7192,99.972191323693,-10.05228802862177,0.0,10.052996829820424,0.00014719850487548527
FAST,SHORT,500,500,7192,99.972191323693,-10.051129517308283,0.0,10.05162100434578,7.384038868040204e-05
FAST,SHORT,1000,500,7192,99.94438264738598,-10.04907238032262,0.0,10.051929565317376,7.386166161002045e-05
FAST,SHORT,3000,500,7192,99.81924360400446,-10.043085518379149,0.0,10.0536976759141,0.00019794636252713166
FAST,SHORT,5000,500,7192,99.72191323692992,-10.034242798719506,0.0,10.051177724863214,7.402421379224039e-05
FAST,SHORT,15000,500,7192,99.15183537263626,-9.989162144827805,0.0,10.052970447325958,0.000112862920696431
FAST,SHORT,30000,500,7192,98.31757508342604,-9.916007674768675,0.0,10.051977477497546,0.0001219000480197838
FAST,SHORT,60000,500,7192,96.64905450500557,-9.721953461242975,0.546683930369731,10.05194831232751,0.00010597748729304934
FAST,SHORT,250,1000,7192,99.972191323693,-10.05239507033035,0.0,10.053103816583567,0.00025418526801729643
FAST,SHORT,500,1000,7192,99.972191323693,-10.051176121645701,0.0,10.051667585423477,0.0001204214663761538
FAST,SHORT,1000,1000,7192,99.94438264738598,-10.049127156493142,0.0,10.051984312553135,0.00012860889736695855
FAST,SHORT,3000,1000,7192,99.81924360400446,-10.043205461939074,0.0,10.05381756250917,0.0003178329575989577
FAST,SHORT,5000,1000,7192,99.72191323692992,-10.034289508142033,0.0,10.051224416933696,0.00012071628427502598
FAST,SHORT,15000,1000,7192,99.15183537263626,-9.989254520543803,0.0,10.053062781896074,0.00020519749081089614
FAST,SHORT,30000,1000,7192,98.31757508342604,-9.916097872156941,0.0,10.052067657324702,0.00021207987517599122
FAST,SHORT,60000,1000,7192,96.64905450500557,-9.722043670572507,0.546683930369731,10.052038496335404,0.00019616149518639033
