configuration,volatility_bucket,period,candles,trades,long_trades,short_trades,net_return_percent,maximum_drawdown_percent,win_rate_percent,expectancy,costs,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,EXTREME,2023,577,5,4,1,-1.875755407350083436612857154,1.875755407350083436612857160,20.0,-37.51510814700166873225714308,11.70614703495438992642857143,-0.729141607019726592000000,100,100,100,-218.9186430766202098412857154,-218.9186430766202098412857154,-218.9186430766202098412857154,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,2023,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,LOW,2024,1639,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,MEDIUM,2024,2604,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH,2024,2707,6,3,3,-1.770077048576046746030263131,1.770077048576046746030263130,16.66666666666666666666666667,-29.50128414293411243383771885,13.63539633897011005071428571,-0.552957655239525980883456,100,100,100,-192.7706317887480405205028571,-192.7706317887480405205028571,-192.7706317887480405205028571,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,EXTREME,2024,1834,24,8,16,-2.778868310888816905275883150,4.350430215061041050073528044,37.500,-11.57861796203673710531617979,51.27033233527070755714285714,-0.459838087584802970445459,26.46993170273967127470810687,67.29850495731046326475480728,87.39223590073019975247369892,-451.6147343438749228018740296,-719.5815165806170684168740300,-851.4610312152914507678248860,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,2024,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,LOW,2025,1003,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,MEDIUM,2025,2047,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH,2025,2793,5,4,1,-1.536481636972309602978264249,1.536481636972309602978264250,40.0,-30.72963273944619205956528498,12.37160852987471133928571428,-1.221561720941601815683568,96.68011317112308556500969034,100,100,-181.5301702396825270017264249,-182.4876071235130760966264249,-182.4876071235130760966264249,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,EXTREME,2025,2917,37,15,22,11.50833180024449613531791424,2.021602231589734049926618143,54.05405405405405405405405405,31.103599460120259825183552,83.29699599509811304142857141,-3.809064185108447712494289,8.821495009281623674464479436,26.04028533560132436146850550,42.59167405238636258472877140,970.5594635686824387946485671,618.6808622961929446483888465,280.4411021036772858755317037,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,2025,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,LOW,ALL,7564,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,MEDIUM,ALL,8567,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,HIGH,ALL,9343,10,5,5,-3.720523840705179421205626364,3.720523840705179421205626360,10.0,-37.20523840705179421205626364,23.86512945810728172785714285,-2.454257624296598964134064,100,100,100,-391.9642216192611089308126364,-391.9642216192611089308126364,-391.9642216192611089308126364,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,EXTREME,ALL,9490,112,35,77,1.327537896550900125369429783,12.70432332343404818346468340,39.28571428571428571428571429,1.185301693349017969079848021,247.6007501067095105042857141,-12.875160052562036958771305,3.821570197713393148904941406,11.24578802131083929492004295,18.52385944690192484451753531,-61.2495619273940958830570219,-438.1425839417814001725386085,-807.6164327974743118966198890,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,LOW,2022,791,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,MEDIUM,2022,1438,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,HIGH,2022,2269,1,1,0,-0.432096068132853543620600,0.432096068132853543620600,0,-43.209606813285354362060000,2.53139527416772038,-0.620622560173033982060000,0,0,0,-43.209606813285354362060000,-43.209606813285354362060000,-43.209606813285354362060000,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,EXTREME,2022,4162,54,15,39,-3.085468969131023811263335519,7.881641081611252338166195075,35.18518518518518518518518519,-5.713831424316710761598769480,119.8026380175841046121428572,-7.663466753725063657047838,8.812170214512619676381211167,25.93169642661903272005720505,42.71422321994189377524680299,-502.5502484955864895463335521,-879.4432705099737938358151387,-1248.917119365666705559896419,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,UNKNOWN,2022,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,LOW,2023,4131,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,MEDIUM,2023,2478,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,HIGH,2023,1574,1,0,1,-0.5063362993560515310285714347,0.5063362993560515310285714300,0,-50.63362993560515310285714347,2.409121021203440657142857143,-0.498595795482238160000000,0,0,0,-50.63362993560515310285714347,-50.63362993560515310285714347,-50.63362993560515310285714347,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,EXTREME,2023,577,5,4,1,-1.756842574847454051657854109,1.756842574847454051657854120,20.0,-35.13685149694908103315708218,11.95850590869490190214285714,-0.912685138651641835071124,100,100,100,-282.9017383161274277272425544,-282.9017383161274277272425544,-282.9017383161274277272425544,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,UNKNOWN,2023,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,LOW,2024,1639,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,MEDIUM,2024,2604,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,HIGH,2024,2707,5,2,3,-2.340252626398751588018188619,2.340252626398751588018188620,0,-46.80505252797503176036377238,11.55912894466935704857142857,0.118988506191461103895424,0,0,0,-234.0252626398751588018188619,-234.0252626398751588018188619,-234.0252626398751588018188619,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,EXTREME,2024,1834,20,4,16,-1.105602711494943472485142267,4.503240854712141146133975168,40.0,-5.528013557474717362425711335,42.75929926340362418000000001,-0.038753575992365925657084,19.56626618578888160874489616,49.58179031488215664014040526,76.32930872982847550339006720,-287.7088385109090204370856556,-559.4626339250168426413713703,-801.6286416185157280221076023,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,UNKNOWN,2024,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,LOW,2025,1003,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,MEDIUM,2025,2047,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,HIGH,2025,2793,3,2,1,-0.4418388468175227585382663098,0.6090038881861756899693818512,33.33333333333333333333333333,-14.72796156058409195127554366,7.365484218066763642142857143,-1.454027774832787925969488,100,100,100,-64.09572223049544266407663098,-64.09572223049544266407663098,-64.09572223049544266407663098,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,EXTREME,2025,2917,33,12,21,7.275452152024321460775761679,4.591489500157716453482519288,48.48484848484848484848484848,22.04682470310400442659321721,73.08030691702687981000000000,-4.260254584192965540995259,9.849371510044022941010186855,28.82416106568863408655536310,47.01158300381483846046618390,544.1103961728715239975761682,190.7236765518031199894566898,-147.9990986458124517534004530,
