configuration,regime,period,candle_count,signal_count,entry_count,long_entries,short_entries,net_pnl,mean_trade_pnl,median_trade_pnl,win_rate_percent,expectancy,maximum_drawdown_percent,exposure_percent,fees,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_DOWN,ALL,687,92,83,0,83,-353.8408782374757637092791527,-4.263143111294888719388905454,-33.428642304504187125000000,37.34939759036144578313253012,-4.263143111294888719388905454,11.55618724499159976196879233,65.93886462882096069868995633,177.1584583420095898021428571,-1.498814248913889621422009,6.204548979418978980978851642,18.10757869948597299084170448,29.50910200979817535833616622,-545.6917335521272240864220101,-913.7453084703827659351804928,-1266.291803989895809626180493,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,RANGING,ALL,33787,0,13,7,6,-277.9874891536672564669339015,-21.38365301182055818976414627,-54.29936162505521849142857133,23.07692307692307692307692308,-21.38365301182055818976414627,3.393705021895302918072114970,1.515375736229910912481131796,29.73140308676387368357142857,-0.356795528236189926219616,51.89411442801945117799687863,100,100,-430.4101793302470413526481870,-571.7061350089695531559285710,-571.7061350089695531559285710,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH_VOLATILITY,ALL,50,0,1,0,1,180.2737164557671747371428569,180.2737164557671747371428569,180.2737164557671747371428569,100,180.2737164557671747371428569,0,14.00,1.035868772666870977142857143,0,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_UP,2022,151,19,17,17,0,-112.0803929506794899438898664,-6.592964291216440584934698024,-5.590550938474466652107652,35.29411764705882352941176471,-6.592964291216440584934698024,2.702600449830766454346149099,58.94039735099337748344370861,38.15443023662953432071428571,-3.364369155342997051747010,38.31964217042767463228259123,74.04169933851230834942396217,97.01699507859862090440556614,-228.7023065497320388850748664,-337.4187357404978009622294334,-407.3416996031617031078494334,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_DOWN,2022,395,48,42,0,42,-391.4622219473524685615798357,-9.320529093984582584799519898,-31.536959492529003307500000,38.09523809523809523809523810,-9.320529093984582584799519898,7.866346761031463216119418230,64.05063291139240506329113924,88.84766819918683709214285715,-4.522775258431127183722692,13.64165023955303725098901151,39.81228226627684241209809098,59.37759768018659089790027688,-583.3130772620039289387226931,-951.3666521802594707874811758,-1226.525627138886251957966890,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,RANGING,2022,8083,0,6,2,4,-52.04012458309334267571961569,-8.673354097182223779286602615,-72.23582865995388904842857105,33.33333333333333333333333333,-8.673354097182223779286602615,1.970933693700313834744671650,2.956822961771619448224669059,13.41513352179178219500000000,0.597638230595269519280384,52.41906153042771923606864116,100,100,-204.4628147596731275614339012,-342.8173451712622258647142852,-342.8173451712622258647142852,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,2022,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH_VOLATILITY,2022,31,0,0,0,0,0,,,,,0,9.677419354838709677419354839,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_UP,2023,45,5,4,4,0,-6.32919693241630089458571449,-1.582299233104075223646428622,-16.05363120395752744714285734,50.0,-1.582299233104075223646428622,1.298025928952642672082822701,26.66666666666666666666666667,9.414200065024889911428571428,-0.950914451068713840300000,74.94499887604288156626516861,100,100,-100.0832845152630061114285722,-131.4263868568748722914285722,-131.4263868568748722914285722,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_DOWN,2023,12,2,1,0,1,-24.508006694848465407000000,-24.508006694848465407000000,-24.508006694848465407000000,0,-24.508006694848465407000000,0.245080066948484654070000,41.66666666666666666666666667,2.356428012362708815,-0.012059386137326592000000,0,0,0,-24.508006694848465407000000,-24.508006694848465407000000,-24.508006694848465407000000,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,RANGING,2023,8703,0,2,1,1,-60.04282425776345864285714326,-30.02141212888172932142857163,-30.02141212888172932142857163,50.0,-30.02141212888172932142857163,0.6298424952489687214285714300,0.3447087211306446053085143054,4.682719897384870094285714286,-0.107877267068317120000000,100,100,100,-62.98424952489687214285714326,-62.98424952489687214285714326,-62.98424952489687214285714326,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH_VOLATILITY,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_UP,2024,80,11,9,9,0,29.87353165716037076238241372,3.319281295240041195820268191,11.027980857992685300000000,66.66666666666666666666666667,3.319281295240041195820268191,0.6435022780320834201065234171,58.7500,20.31982968066280106714285714,-2.955586960527202456189015,37.29415189481595988958529473,81.91618714798529051160820604,98.77864391144052240521430767,-28.71530146348893264856844228,-98.81618442029036863008498628,-125.3069776176970666274449863,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_DOWN,2024,121,19,18,0,18,-399.7484949305119044795684705,-22.20824971836177247108713725,-58.822357092998274590160000,22.22222222222222222222222222,-22.20824971836177247108713725,4.909604732000330857985969390,62.80991735537190082644628099,37.75275631993292220357142857,2.072040316074404866860100,33.73453196642963432469683088,85.76839533516196519479603135,100,-573.4763981855051367538541851,-841.4431804222472823688541855,-914.7338619362723613088541855,
