configuration,period_type,period,with_funding_net_pnl,without_funding_net_pnl,difference,pnl_explained_percent,long_effect,short_effect,warning,diagnostic_only
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q4,29.38930311711219767389433360,29.12228661955387235785714297,0.26701649755832531603719063,0.9085499458571797618979610559,-0.247046510250920000000000,0.570882506100186937465762,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2022,-351.7565037263877354883935520,-343.4947709951556839292857140,-8.2617327312320515591078380,2.348707882785418058384963817,-4.274956152155638573474374,-4.009133161742459065633464,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2023,-226.3178874203505582686425544,-225.1191662053286597635714305,-1.1987212150218985050711239,0.5296626036436345809975145531,-0.968097441322570881400000,-0.443183492811309113671124,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2024,-344.5855337893695060503330887,-345.0084965151337990499999998,0.4229627257642929996669111,0.1227453518181735802356075015,-3.677874454791177673061478,3.758109384990272851299818,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2025,683.3613305206798702237495369,689.8438237552926183364285700,-6.4824932346127481126790331,0.9486186802044361508826273959,-7.078275405260798653788892,1.363993046235045186824145,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q1,-148.1467480260082920355106334,-148.9199446881327548528571420,0.7731966621244628173465086,0.5219126794391208934992103759,-1.119669943022185717580000,1.935874148115817922069366,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q2,-217.1525225895379186682980059,-213.9662014545652050514285736,-3.1863211349727136168694323,1.467319419998405198349523307,-0.864089703656566182807341,-2.319224187802718315490663,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q3,184.7460219964107909450768821,188.2285018693621541250000019,-3.4824798729513631799231198,1.885009395774172668162997284,-1.790573272202720272337033,-1.617378652130113059728944,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q4,-171.2032551072523157296617948,-168.8371267218198781500000003,-2.3661283854324375796617945,1.382058059556255695056312976,-0.500623233274166400750000,-2.008404469925445612483223,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q1,-107.2112286977384339543568391,-106.3946465143810606735714295,-0.8165821833573732807854096,0.7616573313039538594284682966,-0.968097441322570881400000,0.055412302670929046328876,,True
