configuration,period_type,period,side,trades,net_pnl,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q4,ALL,7,-171.2032551072523157296617948,89.85967485598344274730974878,100,100,-356.2838393091536404885189372,-377.1694846741039626827689372,-377.1694846741039626827689372,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q4,LONG,2,-50.56783220237516034932142813,100,100,100,-71.45347756732548254357142813,-71.45347756732548254357142813,-71.45347756732548254357142813,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q4,SHORT,5,-120.6354229048771553803403667,100,100,100,-305.7160071067784801391975091,-305.7160071067784801391975091,-305.7160071067784801391975091,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q1,ALL,4,-107.2112286977384339543568391,100,100,100,-214.4287095291204565158139826,-214.4287095291204565158139826,-214.4287095291204565158139826,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q1,LONG,3,-21.40142112575717770711428586,100,100,100,-128.6189019571392002685714294,-128.6189019571392002685714294,-128.6189019571392002685714294,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q1,SHORT,1,-85.80980757198125624724255330,0,0,0,-85.80980757198125624724255330,-85.80980757198125624724255330,-85.80980757198125624724255330,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q2,ALL,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q2,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q2,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q3,ALL,1,-50.63362993560515310285714347,0,0,0,-50.63362993560515310285714347,-50.63362993560515310285714347,-50.63362993560515310285714347,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q3,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q3,SHORT,1,-50.63362993560515310285714347,0,0,0,-50.63362993560515310285714347,-50.63362993560515310285714347,-50.63362993560515310285714347,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q4,ALL,1,-68.47302878700697121142857180,0,0,0,-68.47302878700697121142857180,-68.47302878700697121142857180,-68.47302878700697121142857180,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q4,LONG,1,-68.47302878700697121142857180,0,0,0,-68.47302878700697121142857180,-68.47302878700697121142857180,-68.47302878700697121142857180,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q4,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q1,ALL,4,-200.0883299410620789447914291,100,100,100,-221.7221756203938053963914291,-221.7221756203938053963914291,-221.7221756203938053963914291,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q1,LONG,1,21.633845679331726451600000,100,100,100,0E-24,0E-24,0E-24,RESULT_DEPENDS_ON_FEW_TRADES
