configuration,dimension,period,side,trades,gross_pnl,fees,funding,net_pnl
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q1,SHORT,3,-198.9559130667342071428571432,6.870350108624312943571428572,0.763209766978789629640000,-205.0630534083797304567885717
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q2,LONG,3,79.42534398174321,6.774600694814867895,-1.115188046779156166949144,71.535555240149185938050856
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q2,SHORT,6,-158.0629107836040899999999998,12.53415849337956085500000000,0.555155858625727598191632,-170.0419134183579232568083679
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q3,SHORT,6,87.54851679670937000000000091,11.91989270710426812500000000,0.339456407188957827938468,75.96808049679405970293846894
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q4,LONG,5,-72.67564966910094857142857144,11.29717390396443695571428572,-1.626623872567194773279871,-85.59944744563258030042272815
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q4,SHORT,4,-95.58437831648278999999999989,8.700850622974759164999999999,0.518736907174748449090000,-103.7664920322828007159099999
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q1,SHORT,10,476.3305811423517414285714275,19.58966724397099212928571428,0.473399821054490960588754,457.2143137194352402598744673
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q2,LONG,8,420.3626680633067385714285711,19.25789622873794541928571428,-2.558585886040672357974872,398.5461859485281207941679849
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q2,SHORT,5,135.5007202690333342857142854,10.71526496913681698285714286,-0.080302247574518610613933,124.7051530523219986922432095
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q3,LONG,10,15.22466423765756571428571470,24.70563015849785344285714285,-3.188973589338616457643568,-12.66993951017890418621499615
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q4,LONG,1,-28.12814183734086,2.46760355454303285,-0.247046510250920000000000,-30.842791902134812850000000
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q4,SHORT,8,78.59375488323300714285714303,18.93254237008618355642857143,0.570882506100186937465762,60.23209501924701052389433360
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,REGIME,HIGH_VOLATILITY,SHORT,1,181.3095852284340457142857140,1.035868772666870977142857143,0,180.2737164557671747371428569
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,REGIME,RANGING,LONG,7,-377.2753525171045228571428570,16.26153685188639334857142857,-0.990238835332229563500000,-394.5271282043231457692142856
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,REGIME,RANGING,SHORT,6,129.3760619784373300000000001,13.46986623487748033500000000,0.633443307096039637280384,116.5396390506558893022803841
